name,rating,reviews,host_name,address,amenities,price,country,bathrooms,beds,guests,toiles,bedrooms,studios,checkin,checkout
Tulsi Cottage - One big Room for group/family,New,2,Yash,"Kullu, Himachal Pradesh, India","Free parking on premises,Washing machine,Smoking allowed,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",1712, India,1,5,4,0,1,0,12:00:00,12:00:00
"Gaul Himalyan House, Uttarakhand Private Room",New,2,Sachin,"Gaul, Uttarakhand, India","Pets allowed,Patio or balcony,Garden,Smoking allowed,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",1569, India,2,1,6,0,2,0,12:00:00,12:00:00
Mangalyam - A home away from home_2-AC Duplex,New,2,Sanjay,"Haridwar, Uttarakhand, India","Kitchen,Wifi,Free parking on premises,Air conditioning,Microwave,Breakfast,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",3538, India,1,2,5,0,2,0,12:00:00,12:00:00
Adventure Trail Treehouse | Lushal,New,0,Shanu,"Jibhi, Himachal Pradesh, India","Fire pit,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",4793, India,1,2,4,0,2,0,12:00:00,12:00:00
Luxury Dome-Glamping rishikesh (TNV),5.0,3,Vivek,"Rishikesh, Uttarakhand, India","Wifi,Free on-street parking,Shared pool,Pets allowed,Garden,Fire pit,Breakfast,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",7988, India,1,2,2,0,1,0,15:00:00,12:00:00
Smart Deluxe room Near Laxman jhula tapovan,4.75,20,Ashish,"Rishikesh, Uttarakhand, India","Mountain view,Fast wifi – 150 Mbps,Dedicated workspace,Free parking on premises,Pets allowed,TV with cable/satellite TV,AC – split-type ductless system,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",1280, India,1,1,2,0,1,0,12:00:00,11:00:00
Devi music ashram,4.92,12,Raj,"Rishikesh, Uttarakhand, India","Kitchen,Wifi,Pets allowed,Washing machine,Air conditioning,Hair dryer,Breakfast,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",2054, India,2,2,2,0,1,0,11:00:00,12:00:00
"Valley View Blubop long vacations, family friendly",New,0,Kartik,"Sainj, Himachal Pradesh, India","Valley view,Mountain view,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,Free washer – In building,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",1890, India,3,4,12,0,4,0,12:00:00,12:00:00
Comfortable-1 Bedroom on Rooftop with Ganga View,New,1,Maayaa,"Rishikesh, Uttarakhand, India","Kitchen,Dedicated workspace,Air conditioning,Refrigerator,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",2282, India,2,1,2,0,1,0,12:00:00,12:00:00
Private  Room on ground floor RishikeshTapovan,New,1,Mukesh,"Rishikesh, Uttarakhand, India","Wifi,Free parking on premises,TV,Central air conditioning,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",912, India,1,1,2,0,1,0,12:00:00,12:00:00
6BHK Twin Luxe Villa on Ganga  River Infinity POOL,New,1,Tanya,"Haridwar, Uttarakhand, India","Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pool,Pets allowed,HDTV,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",49071, India,6,12,16,0,6,0,14:00:00,11:00:00
Offbeat Abodes @Tirthan Valley Two Bedroom Chalet,4.67,12,Manish,"Banjar, Himachal Pradesh, India","Waterfront,Kitchen,Wifi,Free parking on premises,Pets allowed,TV,Breakfast,Smoking allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",9129, India,2,2,6,0,2,0,14:00:00,12:00:00
Cottage In the Heart of Beautiful Nature,New,2,Shivam,"Haridwar, Uttarakhand, India","Mountain view,Park view,Kitchen,Free parking on premises,Air conditioning,Hair dryer,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",1482, India,2,2,4,0,2,0,14:00:00,12:00:00
Wonder Stroll Blubop WFH Family Vacations Sharan,New,0,Kartik,"Sainj, Himachal Pradesh, India","Mountain view,Valley view,Lake access,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",1504, India,2,6,12,0,4,0,12:00:00,03:00:00
Siddhi Retreat 7 -A Tranquil Yoga Infused Hideaway,New,0,Ravi,"Kharakmaf, Uttarakhand, India","Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,Air conditioning,Indoor fireplace,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",16685, India,7,14,14,0,7,0,13:00:00,11:00:00
Swiss Cottage tents | All Meals | Chanshal Pass,New,1,Sandeep,"Chanshal Pass, Himachal Pradesh, India","Kitchen,Free parking on premises,Pets allowed,Indoor fireplace,Children’s books and toys,Breakfast,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",5135, India,1,2,3,0,1,0,12:00:00,12:00:00
Siddhi Retreat 6 -A Tranquil Yoga Infused Hideaway,New,0,Ravi,"Kharakmaf, Uttarakhand, India","Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,Air conditioning,Indoor fireplace,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",14860, India,6,12,12,0,6,0,13:00:00,11:00:00
Aaron: Cheerful Place Near Rishikesh In the Forest,5.0,13,Arun,"Rishikesh, Uttarakhand, India","Mountain view,Valley view,Kitchen,Wifi,Free parking on premises,Pets allowed,Free washing machine,Bath,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",2236, India,1,2,4,0,2,0,12:00:00,11:00:00
Duplex room. Group workation/vacation in Mussoorie,4.77,44,Alok,"Mussoorie, Uttarakhand, India","Kitchen,Wifi,Dedicated workspace,Pets allowed,TV with standard cable/satellite,Washing machine,Dryer,Shared patio or balcony,Garden,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",1442, India,1,2,4,0,2,0,13:00:00,12:00:00
"Scenic wooden cottage #1 in Sainj Valley, Kullu",4.89,18,Ravi,"Sainj, Himachal Pradesh, India","Garden view,Mountain view,Wifi,Dedicated workspace,Free parking on premises,Private patio or balcony,Private backyard – Fully fenced,Luggage drop-off allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",1825, India,1,2,4,0,1,0,11:00:00,10:00:00
"The Log House , Mall Road, Mussoorie",4.65,51,Parmeet Kaur,"Mussoorie, Uttarakhand, India","Kitchen,Wifi,Free parking on premises,Pets allowed,TV,Washing machine,Shared patio or balcony,Indoor fireplace,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",9700, India,2,2,6,0,2,0,12:00:00,11:00:00
Charming cottage in Landour,4.81,102,Mala,"Mussoorie, Uttarakhand, India","Kitchen,Wifi,Dedicated workspace,Free parking on premises,TV with standard cable/satellite,Patio or balcony,Garden,Hair dryer,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",28529, India,2,2,5,0,2,0,12:00:00,10:00:00
Lovely 1 Bd with 1 sofa/bed in heart of Rishikesh,New,1,Aryan,"Rishikesh, Uttarakhand, India","Mountain view,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,TV,Lift,Air conditioning,Security cameras on property",2282, India,1,2,4,0,1,0,14:00:00,11:00:00
Single Bedroom Studio Apartment,4.83,96,Suhelika,"Mussoorie, Uttarakhand, India","Kitchen,Free parking on premises,Pets allowed,TV with standard cable/satellite,Washing machine,Garden,Refrigerator,Microwave,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",2853, India,1,1,3,0,1,0,12:00:00,11:00:00
Peaceful Stay Near Laxman Jhula,4.75,16,Ashish,"Rishikesh, Uttarakhand, India","Mountain view,Fast wifi – 70 Mbps,Dedicated workspace,Free parking on premises,Pets allowed,32"" TV with cable/satellite TV, standard cable/satellite,AC – split-type ductless system,Luggage drop-off allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",1380, India,1,1,2,0,1,0,12:00:00,11:00:00
"A beautiful luxurious duplex cottage 
pet is live",4.55,44,Sanju,"Jibhi, Himachal Pradesh, India","Mountain view,Resort view,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,EV charger,Air conditioning,Private backyard – Fully fenced,Security cameras on property",3309, India,1,1,5,0,2,0,12:00:00,11:00:00
Mussoorie Cottage,4.74,55,Asmira,"Mussoorie, India","Kitchen,Wifi,Free parking on premises,TV with standard cable/satellite,Washing machine,Private patio or balcony,Private backyard – Fully fenced,Luggage drop-off allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",8359, India,2,2,6,0,2,0,14:00:00,11:00:00
"The Retreat: Beyond the Horizon, above the clouds.",4.82,49,Farrah,"Uttarakhand, India","Kitchen,Wifi,Dedicated workspace,Free parking on premises,TV,Washing machine,Dryer,Bath,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",6847, India,2,2,4,0,2,0,12:00:00,11:00:00
"Scenic 3BR cottage in Jibhi, Himachal Pradesh",4.67,21,Akshay,"Jibhi, Himachal Pradesh, India","Mountain view,Valley view,Wifi,Dedicated workspace,Free parking on premises – 1 space,Pets allowed,HDTV with standard cable/satellite,Paid washer – In building,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",8068, India,3,3,6,0,3,0,11:00:00,10:00:00
The Burra Bungalow,4.94,77,Mrinalini,"Mussoorie, Uttarakhand, India","Kitchen,Wifi,Free parking on premises,Hot tub,TV with standard cable/satellite,Washing machine,Hair dryer,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",18473, India,4,0,6,0,3,0,12:00:00,12:00:00
Nilaya Inn Home Stay,4.83,6,Priyanka,"Rishikesh, Uttarakhand, India","Kitchen,Wifi,Dedicated workspace,Shared garden,Samsung refrigerator,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",1997, India,5,5,10,0,5,0,12:00:00,12:00:00
Tree House Cottage  in Rishikesh,New,0,Bishal,"Rishikesh, Uttarakhand, India","Garden view,Mountain view,Wifi,Dedicated workspace,TV,Washing machine,Air conditioning,Smoking allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",1917, India,1,1,2,0,1,0,15:00:00,12:00:00
"Ultra Luxurious Flat with kitchen, wifi & parking",4.56,131,Sanjay,"Rishikesh, Uttarakhand, India","Mountain view,Kitchen,Fast wifi – 232 Mbps,Dedicated workspace,Free parking on premises,Pets allowed,TV with standard cable/satellite,Lift,Free washer – In unit,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",1901, India,2,6,8,0,1,0,14:00:00,11:00:00
Jiva Home JP,4.55,31,Meenu,"Rishikesh, Uttarakhand, India","Kitchen,Wifi,Free parking on premises,TV with standard cable/satellite,Air conditioning,Luggage drop-off allowed,Hair dryer,Smoking allowed,Security cameras on property,Unavailable: Smoke alarmSmoke alarm",1550, India,1,1,3,0,1,0,12:00:00,11:00:00
Best Hotel near Har Ki Pauri n Mansadevi Rope way,New,0,Surya,"Haridwar, Uttarakhand, India","Wifi,TV,Air conditioning,Long-term stays allowed,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",1278, India,1,2,2,0,1,0,12:00:00,12:00:00
Green Heaven Homestay| 1 bedroom with Living area,5.0,5,Ram Singh,"Jibhi, Himachal Pradesh, India","Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,Dryer,Hair dryer,Fire pit,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",3652, India,1,2,4,0,2,0,12:00:00,12:00:00
Atwilla's Nest.,4.75,4,Bharat,"Mussoorie, Uttarakhand, India","Mountain view,Valley view,Kitchen,Wifi,Dedicated workspace,Free parking on premises,TV,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",17118, India,3,3,6,0,3,0,14:00:00,12:00:00
"Stunning Hills Rooms, Asmarh chakrata",4.63,40,Jagat,"Chakrata, UK, India","Resort view,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private backyard – Fully fenced,Indoor fireplace: electric,Luggage drop-off allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",1552, India,3,2,4,0,2,0,12:00:00,10:00:00
"Hotel Sethi Legacy
www.sethilegacy.com",4.69,13,Gurmeet,"Haridwar, Uttarakhand, India","Wifi,Dedicated workspace,TV,Lift,Air conditioning,Luggage drop-off allowed,Paid parking off premises,Long-term stays allowed,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",2000, India,1,1,3,0,1,0,12:00:00,12:00:00
Yog Amritam,4.86,22,Shailendra,"Rishikesh, Uttarakhand, India","Mountain view,Valley view,Wifi,Washing machine,Long-term stays allowed,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",822, India,1,2,2,0,1,0,08:00:00,10:00:00
"Hotel Thakur Ji
Haridwar",New,0,Bisht,"Haridwar, Uttarakhand, India","Kitchen,Wifi – 31 Mbps,Dedicated workspace,Free parking on premises,Pets allowed,TV,Air conditioning,Long-term stays allowed,Security cameras on property",913, India,1,1,2,0,1,0,15:00:00,12:00:00
"The Log House, Mall Road, Mussoorie",New,0,Parmeet Kaur,"Mussoorie, Uttarakhand, India","Kitchen,Wifi,Free parking on premises,Pets allowed,TV,Washing machine,Shared patio or balcony,Indoor fireplace,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",9129, India,2,2,7,0,2,0,12:00:00,12:00:00
The Mountain View - Deluxe Double Room,4.72,39,Ankit,"Rishikesh, UK, India","City skyline view,Mountain view,Kitchen,Wifi – 46 Mbps,Dedicated workspace,Free parking on premises,32"" HDTV with cable/satellite TV, standard cable/satellite,Free washing machine,Free dryer,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",1255, India,1,1,2,0,1,0,12:00:00,11:00:00
RAJ GUEST HOUSE- A DECENT HOME  AWAY FROM HOME.,New,0,Sanyam,"Haridwar, Uttarakhand, India","Wifi,Dedicated workspace,Free parking on premises,32"" TV with cable/satellite TV, standard cable/satellite,Window AC unit,AC – split-type ductless system,Smoking allowed,Long-term stays allowed,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",1369, India,0,6,16,0,6,0,12:00:00,11:00:00
Private room in Villa,4.57,35,Sarvesh,"Rishikesh, Uttarakhand, India","Mountain view,Garden view,Wifi,Patio or balcony,Garden,Luggage drop-off allowed,Breakfast,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",970, India,1,1,2,0,1,0,12:00:00,12:00:00
1 private suite(A) with 2 double beds in Rishikesh,New,0,Pradeep,"Rishikesh, Uttarakhand, India","Wifi,Free parking on premises,TV,Air conditioning,Long-term stays allowed,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",2739, India,1,2,4,0,1,0,15:00:00,12:00:00
Jibhi Inn Cottage (A Home Stay Unit),4.83,6,Hans,"Jibhi, Himachal Pradesh, India","Kitchen,Wifi,Free parking on premises,Pets allowed,Washing machine,Dryer,Smoking allowed,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",1368, India,2,3,2,0,3,0,12:00:00,12:00:00
Jungle Lore Camp Resort and Retreat,4.75,4,Vivek,"Rishikesh, Uttarakhand, India","Waterfront,Wifi,Free parking on premises,Pets allowed,Washing machine,Garden,Luggage drop-off allowed,Breakfast,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",2282, India,12,29,16,0,12,0,14:00:00,12:00:00
Atulyam-Private room near river&main Jibhi center,New,1,Sonika,"Jibhi, Himachal Pradesh, India","Wifi,Free parking on premises,Patio or balcony,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",1881, India,1,1,2,0,1,0,13:00:00,12:00:00
"Aastha Homestay (Couple) Sainj, Kullu, Himachal",5.0,9,Pradeep,"Sainj, Himachal Pradesh, India","Lake access,Kitchen,Wifi,Free parking on premises,Pets allowed,TV,Washing machine,Indoor fireplace,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",1484, India,1,6,6,0,3,0,12:00:00,12:00:00
The Anand - In the Mountains,New,1,Vijay,"Natin, Uttarakhand, India","Garden view,Mountain view,Wifi,Dedicated workspace,Free parking on premises,TV,Washing machine,Fire pit,Long-term stays allowed,Unavailable: Smoke alarmSmoke alarm",2053, India,3,4,7,0,3,0,15:00:00,12:00:00
Studio one bhk,New,1,Meenu,"Rishikesh, Uttarakhand, India","Kitchen,Wifi,Dedicated workspace,Free parking on premises,TV,Air conditioning,Private patio or balcony,Luggage drop-off allowed,Refrigerator,Unavailable: Smoke alarmSmoke alarm",2966, India,1,1,4,0,1,0,12:00:00,12:00:00
Moksha Hilltop Moon Cottage,New,1,Kanika,"Banjar, Himachal Pradesh, India","Valley view,Mountain view,Kitchen,Free parking on premises,Pets allowed,Bath,Private patio or balcony,Private backyard – Fully fenced,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",3994, India,1,2,6,0,2,0,12:00:00,12:00:00
Elegant 5 bedroom floor near harki pauri haridwar,New,0,Sumit,"Haridwar, Uttarakhand, India","Wifi,TV,Air conditioning,Long-term stays allowed,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",7132, India,5,5,10,0,5,0,15:00:00,12:00:00
K - Farms- Group Travellers Apartment,4.88,17,Mrinalini,"Rishikesh, Uttarakhand, India","Kitchen,Wifi,Free on-street parking,Pets allowed,TV with standard cable/satellite,Air conditioning,Patio or balcony,Garden,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",5489, India,3,3,5,0,1,0,12:00:00,12:00:00
Panorama - Home stay,4.73,15,Mamta,"Mussoorie, Uttarakhand, India","Valley view,Mountain view,Kitchen,Wifi,Dedicated workspace,TV,Patio or balcony,Refrigerator,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",5706, India,1,3,3,0,1,0,12:00:00,12:00:00
Private room near Holy River Ganga,4.75,9,Rajesh,"Rishikesh, Uttarakhand, India","Mountain view,River view,Wifi,Free parking on premises,TV with standard cable/satellite,Lift,Air conditioning,Luggage drop-off allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",2853, India,1,1,2,0,1,0,12:00:00,12:00:00
Quad premium room in Tapovan Rishikesh,New,1,Pankaj,"Rishikesh, Uttarakhand, India","Wifi,Dedicated workspace,Free parking on premises,HDTV with cable/satellite TV, standard cable/satellite,Dryer,Air conditioning,Garden,Indoor fireplace,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",4907, India,1,2,4,0,1,0,12:00:00,12:00:00
Private Comfortable room in Tapoven Rishikesh,4.75,4,Mukesh,"Rishikesh, Uttarakhand, India","Wifi,Free parking on premises,TV with standard cable/satellite,Air conditioning,Garden,Luggage drop-off allowed,Smoking allowed,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",912, India,1,1,2,0,1,0,11:00:00,11:00:00
1 Room near har ki pauri in Haridwar,New,2,Sumit,"Haridwar, Uttarakhand, India","Wifi,TV,Air conditioning,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",1439, India,1,1,2,0,1,0,15:00:00,12:00:00
Staygo Hotel Near Haridwar Railway station,New,2,Mohit,"Haridwar, Uttarakhand, India","Wifi,Pets allowed,TV,Air conditioning,Smoking allowed,Paid parking on premises,Long-term stays allowed,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",1712, India,1,1,2,0,1,0,15:00:00,12:00:00
Hotel dayara bugyal resort raithal,New,0,Minakshi,"Raithal, Uttarakhand, India","Garden view,Valley view,Wifi,Free parking on premises,Pets allowed,TV,Fire pit,Smoking allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",1826, India,10,20,16,0,10,0,12:00:00,11:00:00
Kunwarji's Eco Farm Stay,5.0,7,Geetanjali,"Pauri Garhwal, Uttarakhand, India","Mountain view,Valley view,Kitchen,Free on-street parking,Bath,Breakfast,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",1598, India,1,4,4,0,1,0,11:00:00,13:00:00
Geeta Vatika-Peaceful place in Himalayas,New,2,Moti,"Uttarakhand, India","Breakfast,Smoking allowed,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",826, India,1,2,3,0,1,0,10:00:00,10:00:00
"Prithvi Room at Golden Healing Journeys, Rishikesh",New,1,Madhav,"Rishikesh, Uttarakhand, India","Mountain view,Wifi,Free parking on premises,Lift,Air conditioning,Private patio or balcony,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",7418, India,1,1,2,0,1,0,15:00:00,12:00:00
Mountain View Balcony Dorm Bed @ Rishikesh,5.0,4,Samarth,"Rishikesh, Uttarakhand, India","Beach access – Beachfront,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,Lift,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",963, India,0,0,1,0,0,1,13:00:00,11:00:00
Dostel | 2BR with Mountain Views & Pvt Parking,New,1,Vattakanal,"Jonk, Uttarakhand, India","Kitchen,Wifi,Free parking on premises,Pets allowed,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",4238, India,1,2,4,0,2,0,12:00:00,12:00:00
MHARAJA ROOM,4.67,3,Raghav,"Haridwar, Uttarakhand, India","Wifi,Dedicated workspace,Air conditioning,Breakfast,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",5719, India,1,1,4,0,1,0,15:00:00,12:00:00
Four Bedded Ac Room Near By Har Ki Pauri Haridwar,New,0,Megha,"Haridwar, Uttarakhand, India","Wifi,Free parking on premises,TV,Air conditioning,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",4000, India,1,2,4,0,1,0,15:00:00,12:00:00
Hotel Vyas,4.8,5,Rakesh Kumar (Yogi),"Rishikesh, Uttarakhand, India","Mountain view,Valley view,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,24"" HDTV with standard cable/satellite,Window AC unit,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",1505, India,1,1,2,0,1,0,12:00:00,11:00:00
The Luxury Mountain view Suite Room,New,2,Rajesh,"Rishikesh, Uttarakhand, India","Wifi,Free parking on premises,TV,Lift,Air conditioning,Patio or balcony,Breakfast,Smoking allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",2853, India,1,1,2,0,1,0,12:00:00,12:00:00
Charming 10 cottage resort in Rishikesh,New,0,Ashutosh,"Bairagarh, Uttarakhand, India","Kitchen,Wifi,Free parking on premises,Pool,Hot tub,Pets allowed,TV,Air conditioning,Cot,Security cameras on property",9129, India,1,1,2,0,1,0,12:00:00,12:00:00
Iceberg Deluxe Room 3_In the Laps of Nature,New,0,Vishal,"Mussoorie, Uttarakhand, India","Waterfront,Wifi,Dedicated workspace,Free parking on premises,TV with standard cable/satellite,Air conditioning,Bath,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",3422, India,1,1,2,0,1,0,12:00:00,12:00:00
Ganga View Room In Rishikesh,New,0,Amit,"Rishikesh, Uttarakhand, India","Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",5592, India,8,8,16,0,8,0,10:00:00,10:00:00
Privet Room in Rishikesh.,New,2,Sarvesh,"Rishikesh, India","Mountain view,Garden view,Wifi,Patio or balcony,Garden,Luggage drop-off allowed,Breakfast,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",970, India,1,1,2,0,1,0,12:00:00,12:00:00
"Stargaze from Colorful Deserted Dwelling,Mussoorie",New,1,Harjeet Kaur,"Mussoorie, Uttarakhand, India","Wifi,Free parking on premises,Pets allowed,TV,Garden,Luggage drop-off allowed,Refrigerator,Microwave,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",20541, India,2,4,4,0,2,0,12:00:00,11:00:00
Room no 101 - 1 bedroom set with kitchen,New,1,Piyush,"Rishikesh, Uttarakhand, India","Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,Washing machine,Long-term stays allowed,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",1825, India,1,2,2,0,1,0,12:00:00,12:00:00
Ganga View Homestay,New,0,Amit,"Rishikesh, Uttarakhand, India","Wifi,TV,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",3994, India,8,8,16,0,8,0,10:00:00,12:00:00
Ganga View Flat,New,0,Amit,"Rishikesh, Uttarakhand, India","Wifi,TV,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",3994, India,8,8,16,0,8,0,10:00:00,12:00:00
Ganga View Homes,New,0,Amit,"Rishikesh, Uttarakhand, India","Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",3994, India,8,8,16,0,8,0,10:00:00,12:00:00
